Experiment	LibraryLayout	Platform	Run	R1	R2
SRX8245721	PAIRED	ILLUMINA	SRR11684956		
SRX8245722	PAIRED	ILLUMINA	SRR11684957		
SRX8245723	PAIRED	ILLUMINA	SRR11684958		
SRX8245724	PAIRED	ILLUMINA	SRR11684959		
SRX8245725	PAIRED	ILLUMINA	SRR11684960		
SRX8245726	PAIRED	ILLUMINA	SRR11684961		
SRX8245727	PAIRED	ILLUMINA	SRR11684962		
SRX8245728	PAIRED	ILLUMINA	SRR11684963		
SRX8245729	PAIRED	ILLUMINA	SRR11684964		
SRX8245730	PAIRED	ILLUMINA	SRR11684965		
SRX8245731	PAIRED	ILLUMINA	SRR11684966		
SRX8245732	PAIRED	ILLUMINA	SRR11684967		
SRX8245733	PAIRED	ILLUMINA	SRR11684968		
SRX7973505	SINGLE	ILLUMINA	SRR11394688		
SRX7973506	SINGLE	ILLUMINA	SRR11394689		
SRX7973507	SINGLE	ILLUMINA	SRR11394690		
SRX7973508	SINGLE	ILLUMINA	SRR11394691		
SRX7973509	SINGLE	ILLUMINA	SRR11394692		
SRX7973510	SINGLE	ILLUMINA	SRR11394693		
SRX7973511	SINGLE	ILLUMINA	SRR11394694		
SRX7973512	SINGLE	ILLUMINA	SRR11394695		
SRX7973513	SINGLE	ILLUMINA	SRR11394696		
SRX7973514	SINGLE	ILLUMINA	SRR11394697		
SRX7973515	SINGLE	ILLUMINA	SRR11394698		
SRX7973516	SINGLE	ILLUMINA	SRR11394699		
SRX7973517	SINGLE	ILLUMINA	SRR11394700		
SRX7973518	SINGLE	ILLUMINA	SRR11394701		
ERX5995710	PAIRED	ILLUMINA	ERR6365229		
ERX5995719	PAIRED	ILLUMINA	ERR6365238		
ERX5995728	PAIRED	ILLUMINA	ERR6365247		
ERX5995738	PAIRED	ILLUMINA	ERR6365257		
ERX5995745	PAIRED	ILLUMINA	ERR6365264		
ERX5995795	PAIRED	ILLUMINA	ERR6365365		
ERX5995853	PAIRED	ILLUMINA	ERR6365437		
ERX5995884	PAIRED	ILLUMINA	ERR6365481		
ERX5996028	PAIRED	ILLUMINA	ERR6365673		
ERX5996215	PAIRED	ILLUMINA	ERR6365925		
SRX23707957	PAIRED	ILLUMINA	SRR28058330		
SRX23707956	PAIRED	ILLUMINA	SRR28058331		
SRX23707955	PAIRED	ILLUMINA	SRR28058332		
SRX23707954	PAIRED	ILLUMINA	SRR28058333		
SRX23707953	PAIRED	ILLUMINA	SRR28058334		
SRX23707952	PAIRED	ILLUMINA	SRR28058335		
SRX23707951	PAIRED	ILLUMINA	SRR28058336		
SRX23707950	PAIRED	ILLUMINA	SRR28058337		
SRX23707949	PAIRED	ILLUMINA	SRR28058338		
